x;y
-127;103
-127;102
-127;101
-127;99
-127;96
-127;95
-127;93
-127;90
-127;85
-127;82
-127;79
-127;77
-127;75
-127;71
-127;69
-127;66
-127;64
-127;62
-127;58
-127;56
-127;54
-127;52
-127;48
-127;46
-127;42
-127;39
-127;37
-127;35
-127;30
-127;27
-127;24
-127;22
-127;19
-127;14
-127;12
-127;9
-127;7
-127;1
-127;-1
-127;-3
-127;-6
-125;-9
-121;-15
-120;-18
-118;-21
-116;-24
-113;-27
-108;-32
-105;-35
-102;-38
-99;-44
-99;-47
-99;-50
-99;-55
-99;-57
-99;-60
-99;-63
-99;-70
-99;-74
-99;-78
-99;-81
-99;-88
-99;-92
-99;-95
-99;-102
-99;-103
-99;-103
-99;-104
-99;-112
-99;-115
-99;-119
-99;-123
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-126
-99;-124
-99;-121
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-98;-117
-95;-117
-89;-117
-85;-117
-82;-117
-75;-117
-72;-117
-68;-117
-64;-117
-57;-117
-53;-117
-48;-117
-43;-117
-38;-117
-29;-117
-25;-117
-21;-117
-18;-117
-10;-117
-7;-117
-3;-117
0;-117
3;-117
11;-117
14;-117
18;-117
22;-117
29;-117
32;-117
36;-117
40;-117
43;-117
51;-117
54;-117
58;-117
62;-117
69;-117
73;-117
80;-117
84;-117
87;-117
94;-117
98;-117
102;-117
105;-117
109;-117
116;-117
120;-117
123;-117
131;-117
132;-117
