time;x;y;fx;fy
63;120;-120;0;104
126;120;-120;0;104
189;120;-120;0;111
252;120;-118;0;111
315;120;-117;0;111
378;120;-114;0;111
441;120;-112;0;111
504;120;-111;0;66
567;120;-111;0;66
630;120;-111;0;66
693;120;-111;0;66
756;120;-111;0;66
819;120;-111;0;66
882;120;-111;0;58
945;120;-111;0;58
1008;120;-111;0;58
1071;120;-111;0;58
1134;120;-111;0;58
1197;120;-111;0;26
1260;120;-111;0;26
1323;120;-111;0;26
1386;120;-111;0;26
1449;120;-111;0;38
1512;120;-111;0;38
1575;120;-111;0;38
1638;120;-111;0;38
1701;120;-111;0;38
1764;120;-111;0;35
1827;120;-111;0;35
1890;120;-111;0;35
1953;120;-111;0;35
2016;120;-111;0;35
2079;120;-111;0;67
2142;120;-111;0;67
2205;120;-111;0;67
2268;120;-111;0;67
2331;120;-111;0;67
2394;120;-111;0;82
2457;120;-111;0;82
2520;120;-111;0;82
2583;120;-111;0;82
2646;120;-111;0;82
2709;120;-111;0;84
2772;120;-111;0;84
2835;120;-111;0;84
2898;120;-111;0;84
2961;120;-111;0;84
3024;120;-111;0;87
3087;120;-111;0;87
3150;120;-111;0;87
3213;120;-111;0;87
3276;120;-111;0;87
3339;120;-111;0;94
3402;120;-111;0;94
3465;120;-111;0;94
3528;120;-111;0;94
3591;120;-111;0;94
3654;120;-111;0;94
3717;120;-111;0;94
3780;120;-111;0;94
3843;120;-111;0;94
3906;120;-111;0;94
3969;120;-111;0;94
4032;120;-111;0;94
4095;120;-111;0;94
4158;120;-111;0;94
4221;120;-111;0;87
4284;120;-111;0;87
4347;120;-111;0;87
4410;120;-111;0;87
4473;120;-111;0;87
4536;120;-111;0;86
4599;120;-111;0;86
4662;120;-111;0;86
4725;120;-111;0;86
4788;120;-111;0;86
4851;120;-111;0;95
4914;120;-111;0;95
4977;120;-111;0;95
5040;120;-111;0;95
5103;120;-111;0;95
5166;120;-111;0;95
5229;120;-108;0;123
5292;120;-106;0;123
5355;120;-104;0;123
5418;120;-102;0;123
5481;120;-100;0;103
5544;120;-100;0;103
5607;120;-100;0;103
5670;120;-100;0;103
5733;120;-100;0;103
5796;120;-100;0;95
5859;120;-100;0;95
5922;120;-100;0;95
5985;120;-100;0;95
6048;120;-100;0;95
6111;120;-100;0;114
6174;120;-98;0;114
6237;120;-95;0;114
6300;120;-94;0;114
6363;120;-92;0;114
6426;120;-90;0;251
6489;120;-80;0;251
6552;120;-75;0;251
6615;120;-71;0;251
6678;120;-66;0;251
6741;120;-58;0;199
6804;120;-55;0;199
6867;120;-52;0;199
6930;120;-48;0;199
6993;120;-42;0;103
7056;120;-41;0;103
7119;120;-41;0;103
7182;120;-41;0;103
7245;120;-41;0;103
7308;120;-41;0;103
7371;120;-37;0;268
7434;120;-32;0;268
7497;120;-23;0;268
7560;120;-18;0;268
7623;120;-13;0;268
7686;120;-9;0;279
7749;120;0;0;279
7812;120;5;0;279
7875;120;9;0;279
7938;120;14;0;279
8001;120;20;0;184
8064;120;23;0;184
8127;120;25;0;184
8190;120;28;0;184
8253;120;33;0;146
8316;120;35;0;146
8379;120;37;0;146
8442;120;39;0;146
8505;120;43;0;146
8568;120;45;0;215
8631;120;49;0;215
8694;120;52;0;215
8757;120;59;0;215
8820;120;62;0;215
8883;120;65;0;193
8946;120;68;0;193
9009;120;74;0;193
9072;120;77;0;193
9135;120;80;0;193
9198;120;83;0;128
9261;120;87;0;128
9324;120;88;0;128
9387;120;90;0;128
9450;120;93;0;128
9513;120;95;0;130
9576;120;97;0;130
9639;120;99;0;130
9702;120;100;0;130
9765;120;104;0;130
9828;120;105;0;134
9891;120;107;0;134
