x;y
-149;121
-148;121
-145;121
-138;121
-132;121
-129;121
-121;121
-114;121
-107;121
-103;121
-96;121
-89;121
-85;121
-78;121
-70;121
-67;121
-56;121
-52;121
-41;121
-37;121
-30;121
-23;121
-19;121
-12;121
-5;121
2;121
6;121
13;121
20;121
24;121
31;121
38;121
46;121
53;121
57;121
67;121
71;121
78;121
86;121
93;121
96;121
104;121
111;121
115;121
126;121
129;121
140;121
143;121
143;121
-141;101
-144;105
-149;111
-99;-47
-99;-50
-99;-55
-99;-57
-99;-60
-99;-63
-99;-70
-99;-74
-99;-78
-99;-81
-99;-88
-99;-92
-99;-95
-99;-102
-99;-103
-99;-103
-99;-104
-99;-112
-99;-115
-99;-119
-99;-123
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-126
-99;-124
-99;-121
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-99;-117
-98;-117
-95;-117
-89;-117
-85;-117
-82;-117
-75;-117
-72;-117
-68;-117
-64;-117
-57;-117
-53;-117
-48;-117
-43;-117
-38;-117
-29;-117
-25;-117
-21;-117
-18;-117
-10;-117
-7;-117
-3;-117
0;-117
3;-117
11;-117
14;-117
18;-117
22;-117
29;-117
32;-117
36;-117
40;-117
43;-117
51;-117
54;-117
58;-117
62;-117
69;-117
73;-117
80;-117
84;-117
87;-117
94;-117
98;-117
102;-117
105;-117
109;-117
116;-117
120;-117
123;-117
131;-117
132;-117
